index,word,score,data_frequency,common
0,AAHED,9,0,0
1,AALII,5,0,0
2,AARGH,9,71592,0
3,AARTI,5,63273,0
4,ABACA,9,79841,0
5,ABACI,9,0,0
6,ABACK,13,272920,0
7,ABACS,9,0,0
8,ABAFT,10,19188,0
9,ABAKA,11,0,0
10,ABAMP,11,0,0
11,ABAND,8,0,0
12,ABASE,7,29383,0
13,ABASH,10,0,0
14,ABASK,11,0,0
15,ABATE,7,470646,0
16,ABAYA,10,84401,0
17,ABBAS,9,1437558,1
18,ABBED,10,0,0
19,ABBES,9,25330,0
20,ABBEY,12,4224864,1
21,ABBOT,9,992552,0
22,ABCEE,9,0,0
23,ABEAM,9,17316,0
24,ABEAR,7,0,0
25,ABELE,7,62988,0
26,ABERS,7,0,0
27,ABETS,7,33014,0
28,ABHOR,10,169167,0
29,ABIDE,8,3722809,1
30,ABIES,7,185002,0
31,ABLED,8,122479,0
32,ABLER,7,29740,0
33,ABLES,7,252284,0
34,ABLET,7,0,0
35,ABLOW,10,15776,0
36,ABMHO,12,0,0
37,ABODE,8,1246541,0
38,ABOHM,12,0,0
39,ABOIL,7,0,0
40,ABOMA,9,0,0
41,ABOON,7,0,0
42,ABORD,8,82154,0
43,ABORE,7,0,0
44,ABORT,7,1569892,1
45,ABOUT,7,1226734006,1
46,ABOVE,10,141894620,1
47,ABRAM,9,610831,0
48,ABRAY,10,13971,0
49,ABRIM,9,0,0
50,ABRIN,7,0,0
51,ABRIS,7,21355,0
52,ABSEY,10,0,0
53,ABSIT,7,0,0
54,ABUNA,7,0,0
55,ABUNE,7,0,0
56,ABUSE,7,36269685,1
57,ABUTS,7,106431,0
58,ABUZZ,25,101924,0
59,ABYES,10,0,0
60,ABYSM,12,0,0
61,ABYSS,10,1152408,0
62,ACAIS,7,0,0
63,ACARI,7,80144,0
64,ACCAS,9,0,0
65,ACCOY,12,0,0
66,ACERB,9,0,0
67,ACERS,7,31994,0
68,ACETA,7,0,0
69,ACHAR,10,32197,0
70,ACHED,11,153141,0
71,ACHES,10,1116644,0
72,ACHOO,10,33177,0
73,ACIDS,8,8793940,1
74,ACIDY,11,0,0
75,ACING,8,35956,0
76,ACINI,7,24397,0
77,ACKEE,11,0,0
78,ACKER,11,317695,0
79,ACMES,9,0,0
80,ACMIC,11,0,0
81,ACNED,8,0,0
82,ACNES,7,44507,0
