index,word,score,data_frequency
0,ABBAS,9,1437558
1,ABBEY,12,4224864
2,ABIDE,8,3722809
3,ABORT,7,1569892
4,ABOUT,7,1226734006
5,ABOVE,10,141894620
6,ABUSE,7,36269685
7,ACIDS,8,8793940
8,ACORN,7,1825652
9,ACRES,7,14208905
10,ACTED,8,4468180
11,ACTOR,7,16282891
12,ACUTE,7,11128841
13,ADAPT,8,4675567
14,ADDED,8,118410414
15,ADEPT,8,1595303
16,ADMIN,8,37835381
17,ADMIT,8,8780656
18,ADOBE,8,27538755
19,ADOPT,8,11272339
20,ADULT,6,97583096
21,AFTER,8,372948094
22,AGAIN,6,150781416
23,AGENT,6,57103658
24,AGILE,6,1808955
25,AGING,7,12014007
26,AGONY,9,1543205
27,AGREE,6,47500911
28,AHEAD,9,28375319
29,AIDED,7,3314916
30,AIDES,6,1614522
31,AIMED,8,10030370
32,AIRED,6,2159611
33,AISLE,5,1917319
34,ALAMO,7,2162395
35,ALARM,7,17059844
36,ALBUM,9,77914316
37,ALERT,5,32472727
38,ALGAE,6,2068644
39,ALIAS,5,7132147
40,ALIEN,5,10490554
41,ALIGN,6,5478643
42,ALIKE,9,6220739
43,ALIVE,8,16064787
44,ALLEY,8,4541475
45,ALLOW,8,67052567
46,ALLOY,8,5468839
47,ALOHA,8,2099181
48,ALONE,5,39326417
49,ALONG,6,83444756
50,ALOUD,6,3743858
51,ALPHA,10,27832836
52,ALTAR,5,2627835
53,ALTER,5,7831337
54,AMBER,9,11065507
55,AMEND,8,7806844
56,AMIGA,8,2201683
57,AMINO,7,8273641
58,AMONG,8,83431590
59,AMPLE,9,3187842
60,ANGEL,6,25294123
61,ANGER,6,7991036
62,ANGLE,6,17016075
63,ANGLO,6,2798286
64,ANGRY,9,9267505
65,ANIME,7,31334688
66,ANKLE,9,4146793
67,ANNEX,12,8465905
68,ANNOY,8,1497815
69,APART,7,16507181
70,APPLE,9,50551171
71,APPLY,12,76341478
72,APRON,7,1617357
73,ARBOR,7,5057261
74,AREAS,5,121986327
75,ARENA,5,13966572
76,ARGUE,6,8353605
77,ARGUS,6,2172332
78,ARIEL,5,2731662
79,ARISE,5,8337093
80,ARMED,8,13866785
81,ARMOR,7,6001844
82,AROMA,7,2018777
83,AROSE,5,2609029
84,ARRAY,8,25150016
85,ARROW,8,11563142
86,ASHES,8,3011008
87,ASIDE,6,11768649
88,ASKED,10,75532722
89,ASPEN,7,4626441
90,ASSAY,8,3855224
91,ASSES,5,4583177
92,ASSET,5,18178753
93,ATLAS,5,12221120
94,ATOMS,7,4375988
95,ATTIC,7,3347389
96,AUDIO,6,127014703
97,AUDIT,6,20786243
98,AUTOS,5,9798008
99,AVAIL,8,3902711
100,AVANT,8,2710283
101,AVIAN,8,2877167
102,AVOID,9,36508203
103,AWAIT,8,1745587
104,AWAKE,12,3230337
105,AWARD,9,59652161
106,AWARE,8,25700328
107,AWFUL,11,5217370
108,AXIAL,12,1685087
109,AXIOM,14,1495473
110,BABES,9,27016030
111,BACKS,13,4797208
112,BACON,9,5385205
113,BADGE,9,6145138
114,BADLY,11,5290145
115,BAKED,12,4716100
116,BAKER,11,14862470
117,BALLS,7,13683840
118,BANDS,8,20842378
119,BANJO,14,1940675
120,BANKS,11,30582183
121,BARON,7,3504549
122,BARRE,7,1839524
123,BARRY,10,12921548
124,BASAL,7,1821739
125,BASED,8,252405204
126,BASES,7,8663363
127,BASIC,9,84840226
128,BASIL,7,2757419
129,BASIN,7,10544774
130,BASIS,7,59901425
131,BATCH,12,7835050
132,BATES,7,3503755
133,BATHS,10,5707960
134,BATON,7,4229776
135,BAYER,10,1825243
136,BEACH,12,105642682
137,BEADS,8,10825324
138,BEAMS,9,3032813
139,BEANS,7,7607524
140,BEARD,8,3166516
141,BEARS,7,22926868
142,BEAST,7,14787561
143,BEATS,7,6367861
144,BEECH,12,2327119
145,BEERS,7,2633610
146,BEGAN,8,38269468
147,BEGIN,8,45434902
148,BEGUN,8,8636352
149,BEIGE,8,4288534
150,BEING,8,242783091
151,BELLE,7,5820002
152,BELLS,7,4743841
153,BELLY,10,7346354
154,BELOW,10,145701629
155,BELTS,7,5651790
156,BENCH,12,8992211
157,BENNY,10,2393928
158,BERRY,10,7551906
159,BETTY,10,6858121
160,BEZEL,16,1692595
161,BIBLE,9,45080741
162,BIKER,11,3530897
163,BIKES,11,10740880
164,BILLS,7,18248816
165,BILLY,10,13515249
166,BINDS,8,2193939
167,BINGO,8,9539002
168,BIRCH,12,2936180
169,BIRDS,8,19693729
170,BIRTH,10,36286070
171,BISON,7,2002028
172,BITCH,12,8302447
173,BITES,7,3086130
174,BLACK,13,244690155
175,BLADE,8,11527988
176,BLAME,9,8170544
177,BLAND,8,1606490
178,BLANK,11,18150537
179,BLAST,7,9387171
180,BLAZE,16,2448412
181,BLEED,8,1989071
182,BLEND,8,9680982
183,BLESS,7,5477461
184,BLIND,8,16485480
185,BLING,8,1627355
186,BLINK,11,5257629
187,BLISS,7,3708978
188,BLITZ,16,2476009
189,BLOCK,13,49694725
190,BLOGS,8,46978262
191,BLOND,8,5155053
192,BLOOD,8,61348302
193,BLOOM,9,5456938
194,BLOWN,10,4229918
195,BLOWS,10,2556663
196,BLUES,7,23387172
197,BLUFF,13,3906671
198,BLUNT,7,4129800
199,BLUSH,10,1722003
200,BOARD,8,212361059
201,BOATS,7,15600762
202,BOBBY,14,8964342
203,BOGUS,8,1903710
204,BOING,8,1870671
205,BOLTS,7,3682849
206,BOMBS,11,3999701
207,BONDS,8,15431252
208,BONES,7,7717501
209,BONUS,7,27819488
210,BOOBS,9,21461250
211,BOOKS,11,347710184
212,BOOST,7,13675076
213,BOOTH,10,7723310
214,BOOTS,7,18968708
215,BOOTY,10,14218854
216,BORED,8,5114852
217,BORNE,7,3379421
218,BOUND,8,22303643
219,BOWEL,10,2666510
220,BOWIE,10,3287191
221,BOWLS,10,4193933
222,BOXED,15,5778226
223,BOXER,14,3592432
224,BOXES,14,25787744
225,BRACE,9,2182960
226,BRAIN,7,33612784
227,BRAKE,11,9321885
228,BRAND,8,82807581
229,BRASS,7,14298573
230,BRAVE,10,5221356
